Date Open High Low Close Volume Adjusted
2010-06-29 3.8 5 3.508 4.778 93831500 4.778
2010-06-30 5.158 6.084 4.66 4.766 85935500 4.766
2010-07-01 5 5.184 4.054 4.392 41094000 4.392
2010-07-02 4.6 4.62 3.742 3.84 25699000 3.84
2010-07-06 4 4 3.166 3.222 34334500 3.222
2010-07-07 3.28 3.326 2.996 3.16 34608500 3.16
2010-07-08 3.228 3.504 3.114 3.492 38557000 3.492
2010-07-09 3.516 3.58 3.31 3.48 20253000 3.48
2010-07-12 3.59 3.614 3.4 3.41 11012500 3.41
2010-07-13 3.478 3.728 3.38 3.628 13400500 3.628
2010-07-14 3.588 4.03 3.552 3.968 20976000 3.968
2010-07-15 3.988 4.3 3.8 3.978 18699000 3.978
2010-07-16 4.14 4.26 4.01 4.128 13106500 4.128
2010-07-19 4.274 4.45 4.184 4.382 12432500 4.382
2010-07-20 4.37 4.37 4.01 4.06 9126500 4.06
2010-07-21 4.132 4.18 3.9 4.044 6262500 4.044
2010-07-22 4.1 4.25 4.074 4.2 4789000 4.2
2010-07-23 4.238 4.312 4.212 4.258 3268000 4.258
2010-07-26 4.3 4.3 4.06 4.19 4611000 4.19
2010-07-27 4.182 4.236 4.052 4.11 3098500 4.11
2010-07-28 4.11 4.18 4.102 4.144 2336000 4.144
2010-07-29 4.154 4.176 4 4.07 3080000 4.07
2010-07-30 4.04 4.088 3.91 3.988 2134500 3.988
2010-08-02 4.1 4.194 4.066 4.184 3590500 4.184
2010-08-03 4.2 4.39 4.164 4.39 6152500 4.39
2010-08-04 4.39 4.436 4.17 4.252 4565000 4.252
2010-08-05 4.308 4.31 4.01 4.09 3981000 4.09
2010-08-06 4.02 4.032 3.904 3.918 3709500 3.918
2010-08-09 3.98 3.996 3.89 3.92 4063500 3.92
2010-08-10 3.93 3.93 3.764 3.806 6406500 3.806
2010-08-11 3.738 3.776 3.57 3.58 3988000 3.58
2010-08-12 3.56 3.58 3.478 3.52 3455000 3.52
2010-08-13 3.636 3.69 3.532 3.664 3170000 3.664
2010-08-16 3.69 3.76 3.652 3.756 2429000 3.756
2010-08-17 3.792 3.88 3.756 3.83 2239500 3.83
2010-08-18 3.918 3.918 3.72 3.754 3006500 3.754
2010-08-19 3.708 3.85 3.666 3.758 2895500 3.758
2010-08-20 3.73 3.822 3.702 3.82 1480000 3.82
2010-08-23 3.818 4.078 3.8 4.026 5440500 4.026
2010-08-24 3.85 3.942 3.79 3.84 3365500 3.84
2010-08-25 3.832 3.996 3.712 3.98 2516500 3.98
2010-08-26 3.978 4.054 3.92 3.95 2169000 3.95
2010-08-27 3.95 3.974 3.9 3.94 1898000 3.94
2010-08-30 3.94 4.038 3.922 3.974 3664000 3.974
2010-08-31 3.932 3.958 3.866 3.896 1005500 3.896
2010-09-01 3.924 4.138 3.92 4.09 2474500 4.09
2010-09-02 4.074 4.248 4.062 4.212 2435500 4.212
2010-09-03 4.174 4.26 4.132 4.21 2173000 4.21
2010-09-07 4.122 4.2 4.1 4.108 1217000 4.108
2010-09-08 4.132 4.19 4.12 4.18 1442000 4.18
2010-09-09 4.2 4.21 4.138 4.142 1881000 4.142
2010-09-10 4.15 4.186 3.952 4.034 1933000 4.034
2010-09-13 4.178 4.18 4.1 4.144 1804000 4.144
2010-09-14 4.108 4.32 4.106 4.224 3273500 4.224
2010-09-15 4.196 4.4 4.158 4.396 3423000 4.396
2010-09-16 4.43 4.632 4.168 4.188 13422500 4.188
2010-09-17 4.204 4.264 3.96 4.046 5992500 4.046
2010-09-20 4.134 4.27 4.032 4.212 4737500 4.212
2010-09-21 4.178 4.31 4.134 4.154 3980000 4.154
2010-09-22 4.174 4.19 3.96 3.974 4814500 3.974
2010-09-23 3.978 4.028 3.9 3.912 3340500 3.912
2010-09-24 3.99 4.038 3.93 4.02 2894500 4.02
2010-09-27 4.08 4.162 4.01 4.106 2093000 4.106
2010-09-28 4.208 4.298 4.152 4.28 6072500 4.28
2010-09-29 4.238 4.406 4.226 4.396 9846500 4.396
2010-09-30 4.4 4.43 4.038 4.082 10979000 4.082
2010-10-01 4.138 4.15 4.062 4.12 2988500 4.12
2010-10-04 4.086 4.234 4.06 4.198 3218000 4.198
2010-10-05 4.23 4.256 4.202 4.224 1660000 4.224
2010-10-06 4.212 4.252 4.064 4.092 1567000 4.092
2010-10-07 4.114 4.128 4.068 4.086 705000 4.086
2010-10-08 4.086 4.158 4.078 4.086 1339000 4.086
2010-10-11 4.088 4.14 4.014 4.048 856000 4.048
2010-10-12 4.04 4.056 4.006 4.048 1220000 4.048
2010-10-13 4.128 4.17 4.072 4.108 1591000 4.108
2010-10-14 4.2 4.206 4.08 4.15 1474000 4.15
2010-10-15 4.178 4.18 4.05 4.108 1423500 4.108
2010-10-18 4.104 4.128 4.044 4.046 814000 4.046
2010-10-19 4.04 4.082 4 4.01 1226000 4.01
2010-10-20 4.032 4.138 4.008 4.13 1562500 4.13
2010-10-21 4.122 4.19 4.09 4.15 2085500 4.15
2010-10-22 4.136 4.186 4.11 4.144 805500 4.144
2010-10-25 4.188 4.196 4.146 4.17 592500 4.17
2010-10-26 4.16 4.374 4.102 4.272 3304500 4.272
2010-10-27 4.25 4.276 4.13 4.2 1782500 4.2
2010-10-28 4.278 4.3 4.192 4.238 1121000 4.238
2010-10-29 4.228 4.37 4.21 4.368 1403000 4.368
2010-11-01 4.388 4.55 4.262 4.282 2279000 4.282
2010-11-02 4.336 4.376 4.21 4.25 1612500 4.25
2010-11-03 4.256 4.5 4.232 4.354 1863000 4.354
2010-11-04 4.52 5.066 4.43 4.98 9370000 4.98
2010-11-05 4.974 4.994 4.744 4.888 5055000 4.888
2010-11-08 4.9 5 4.806 4.996 2547500 4.996
2010-11-09 5 5.138 4.81 4.926 4782000 4.926
2010-11-10 4.896 5.994 4.81 5.872 15302500 5.872
2010-11-11 5.72 5.82 5.466 5.608 9726500 5.608
2010-11-12 5.65 6.1 5.614 5.968 13645500 5.968
2010-11-15 6.044 6.588 6.044 6.16 13114500 6.16
2010-11-16 6.2 6.28 5.684 5.934 6738000 5.934
2010-11-17 6.04 6.15 5.722 5.898 3750000 5.898
2010-11-18 6.134 6.148 5.784 5.978 4780500 5.978
2010-11-19 6.032 6.274 5.94 6.198 5752500 6.198
2010-11-22 6.314 6.69 6.3 6.68 7648500 6.68
2010-11-23 6.658 7.136 6.438 6.914 7889000 6.914
2010-11-24 7.054 7.194 6.866 7.094 7125000 7.094
2010-11-26 7.12 7.2 6.95 7.064 1753000 7.064
2010-11-29 7.082 7.19 6.666 6.866 5728000 6.866
2010-11-30 6.748 7.066 6.682 7.066 11113000 7.066
2010-12-01 7.174 7.284 6.69 6.87 6496000 6.87
2010-12-02 6.802 6.86 6.24 6.47 10035000 6.47
2010-12-03 6.402 6.45 6.174 6.298 5800500 6.298
2010-12-06 6.27 6.29 5.912 6.062 6372000 6.062
2010-12-07 6.098 6.48 6.01 6.312 6556500 6.312
2010-12-08 6.496 6.498 6.304 6.474 3300000 6.474
2010-12-09 6.502 6.544 6.33 6.41 2030000 6.41
2010-12-10 6.41 6.584 6.226 6.304 2147000 6.304
2010-12-13 6.328 6.354 6.08 6.11 2052000 6.11
2010-12-14 6.058 6.078 5.552 5.706 8828500 5.706
2010-12-15 5.734 5.994 5.706 5.92 3714500 5.92
2010-12-16 6 6.182 5.93 6.162 3950500 6.162
2010-12-17 6.268 6.308 6.142 6.272 4065000 6.272
2010-12-20 6.328 6.438 6.252 6.34 2617000 6.34
2010-12-21 6.36 6.538 6.342 6.452 3888500 6.452
2010-12-22 6.45 6.572 6.34 6.526 4166500 6.526
2010-12-23 6.252 6.496 5.984 6.018 7763000 6.018
2010-12-27 5.604 5.716 5.012 5.11 46509500 5.11
2010-12-28 5.17 5.35 5 5.282 20281500 5.282
2010-12-29 5.406 5.602 5.3 5.546 16596000 5.546
2010-12-30 5.54 5.58 5.276 5.3 10205500 5.3
2010-12-31 5.314 5.45 5.3 5.326 7089500 5.326
2011-01-03 5.368 5.4 5.18 5.324 6415000 5.324
2011-01-04 5.332 5.39 5.204 5.334 5937000 5.334
2011-01-05 5.296 5.38 5.238 5.366 7233500 5.366
2011-01-06 5.366 5.6 5.362 5.576 10306000 5.576
2011-01-07 5.6 5.716 5.58 5.648 11239500 5.648
