0.034	6502.0	6502.0
1.056	5865.7	6085.5
2.113	5710.1	5831.5
3.136	6977.9	6063.4
4.167	4698.8	5764.5
5.200	5206.8	5613.6
6.233	6211.0	5642.5
7.267	3419.0	5326.5
8.333	5761.0	5335.4
9.400	6889.6	5441.5
10.433	4316.0	5295.0
11.533	4578.0	5195.3
12.633	6807.0	5275.6
13.767	5260.5	5226.4
14.833	7671.0	5337.2
15.967	7374.1	5399.6
17.000	7078.0	5442.8
18.167	8462.0	5553.1
19.333	5103.3	5487.4
20.433	7926.0	5550.1
21.633	7562.0	5590.0
22.833	6991.1	5596.1
23.967	9038.6	5672.6
25.133	8073.9	5707.9
26.300	8863.1	5748.3
27.333	8880.1	5783.1
28.400	8081.3	5793.4
29.467	8754.3	5827.1
30.633	6270.8	5784.5
31.833	8672.6	5811.2
33.033	8780.0	5847.4
34.034	10080.0	5968.1
35.367	9026.0	5997.6
36.733	12885.6	6074.0
37.833	9534.1	6082.2
38.933	16166.2	6212.8
40.067	15726.2	6338.4
41.267	21026.3	6557.6
42.467	8441.3	6531.8
43.700	9742.8	6530.8
45.000	8379.5	6504.0
46.300	7380.1	6461.7
47.700	12074.8	6507.9
49.100	8731.1	6490.5
50.567	10686.0	6508.9
52.067	7963.0	6475.0
53.600	10329.6	6449.2
54.667	6851.8	6390.8
55.733	14245.3	6404.8
56.833	9284.0	6370.1
57.967	15416.2	6396.0
59.100	9336.9	6363.3
60.267	7915.0	6315.8
61.467	11903.3	6308.8
62.667	12231.7	6305.1
63.900	12362.8	6302.8
65.167	11837.3	6295.4
66.433	inf	6256.3
